"Timestamp","StudentUniqueId","FirstName","LastSurname","Internet Access Type","Has School Email Account","Has School Student Account"
"2020-08-21 20:59:14.284364+00","200691","Gilbert","Gilmore","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","200764","Heather","Norfleet","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","200882","Meisha","Edwards","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","200960","Martha","Walker","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","201136","Darwin","Williams","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","201160","Denise","Moulder","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","201230","Arieh","Doiron","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","201269","Samantha","Herbert","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","201377","William","Townsend","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","201416","Erika","Byrnes","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","201468","Regina","Lott","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","201519","Loi","Parker","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","201526","Jared","Jenkins","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","201631","Alfredo","Kniss","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","201675","Russell","Thompson","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","201859","Jodi","Steffen","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","201923","Missy","Manning","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","202081","Laura","Kenny","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","202193","Selena","Jessup","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","202235","Danielle","Fullerton","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","202239","Jovanic","Williams","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","202375","Chad","Hernandez","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","202626","Jose","Lane","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","202708","David","Howard","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","202751","Robert","Cordova","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","202753","Kelby","Whiddon","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","202759","Ruba","Woodard","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","202839","Alana","Garza","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","203004","Francisco","Mckenzie","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","203142","Jeremy","Chism","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","203297","Megan","Jude","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","203306","Julian","No","High Speed Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","203390","Rogelio","Kallus","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","203701","Ted","Jeffreys","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","203782","Alyssa","Pena","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","203898","Sueanne","Demarco","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","203928","Chianelda","Fullerton","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","204067","Paula","Merchant","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","204299","Joshua","Toro","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","204540","Grant","Brown","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","204775","Laura","Ramos","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","204794","Carl","Worland","High Speed Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","204875","Sharesa","Alaniz","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","205082","Sherica","Haight","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","205124","Emily","Rivera","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","205199","Vicente","Ehler","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","205218","Lori","Gillen","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","205257","Daniel","Valles","High Speed Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","205706","Kristi-Lynn","Labbe","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","205724","Jason","Beserra","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","205840","Kictrick","Vajgrt","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","206115","Roxanne","Devito","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","206200","Robert","Whitworth","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","206226","Kimberly","Santana","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","206485","Gina","Bedard","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","206608","Cecil","Nam","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","207978","Jeremiah","Murillo","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","207979","Cassie","Osullivan","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","208325","Roland","Dotson","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","208354","Steve","Kelley","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","208395","Alexander","Danner","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","208629","Suewilla","Dodge","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","208709","Melanie","Lemay","School provided hot-spot","Yes","No"
"2020-08-21 20:59:14.284364+00","208710","Chuki","Beals","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","209485","Joe","Fetrow","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","210127","Zachry","Scott","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","211228","Melinda","Omalley","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","212035","Ebony","Parrish","School provided hot-spot","Yes","Yes"
"2020-08-21 20:59:14.284364+00","212516","Hiram","Clinton","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","214109","Diane","Ferguson","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","215229","Elijah","Campa","School provided hot-spot","No","Yes"
"2020-08-21 20:59:14.284364+00","215271","Eureka","Cruz","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","216760","Scherryl","Cowley","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","217609","Samantha","Johnson","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","217970","Amanda","Kerns","High Speed Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","218114","Niomi","Oleary","High Speed Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","218187","Tiffinie","Omalley","No Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","220434","Tiffiony","Schroeder","No Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","220661","Gabriel","Fox","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","221997","Thaddeus","Terrell","No Internet","No","No"
"2020-08-21 20:59:14.284364+00","224004","Omar","Shelburne","High Speed Internet","Yes","Yes"
"2020-08-21 20:59:14.284364+00","225420","Gerri","Santiago","High Speed Internet","No","No"
"2020-08-21 20:59:14.284364+00","227200","Clifford","Avendano","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","227454","James","Chaney","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","228179","Melody","Mowery","No Internet","No","Yes"
"2020-08-21 20:59:14.284364+00","228240","Leila","Haight","High Speed Internet","Yes","No"
"2020-08-21 20:59:14.284364+00","235299","Shirimira","Lash","School provided hot-spot","No","No"
"2020-08-21 20:59:14.284364+00","236473","John","Clark","No Internet","Yes","Yes"
