"Timestamp","StudentUniqueId","FirstName","LastSurname","Preferred contact method","Best time to contact","Contact notes"
"2020-08-21 21:05:56.117571+00","200261","Baron","Peri","Email","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","200264","Jeanette","Bradford","SMS","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","200284","Marina","Ferrara","Email","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","200319","Charlotte","Chapa","Email","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","200322","Robin","Wentz","Phone","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","200356","Heather","Flanders","SMS","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","200431","Anwar","Hurst","Email","After dinner","Speak loudly"
"2020-08-21 21:05:56.117571+00","200533","Federica","Martins","SMS","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","200560","Andrew","Willis","Phone","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","200603","Cynthia","Cloutier","Email","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","200610","Marvin","Dodd","Phone","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","200690","Jorge","Hicks","Phone","Weeknights between 6PM and 9PM","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","200691","Gilbert","Gilmore","Email","After dinner","Speak loudly"
"2020-08-21 21:05:56.117571+00","200764","Heather","Norfleet","Phone","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","200882","Meisha","Edwards","SMS","Weeknights between 6PM and 9PM","Speak loudly"
"2020-08-21 21:05:56.117571+00","200960","Martha","Walker","Phone","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","201136","Darwin","Williams","SMS","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","201160","Denise","Moulder","SMS","Weeknights between 6PM and 9PM","Works nights"
"2020-08-21 21:05:56.117571+00","201230","Arieh","Doiron","Email","Weeknights between 6PM and 9PM","Works nights"
"2020-08-21 21:05:56.117571+00","201269","Samantha","Herbert","Phone","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","201377","William","Townsend","SMS","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","201416","Erika","Byrnes","Phone","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","201468","Regina","Lott","SMS","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","201519","Loi","Parker","Email","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","201526","Jared","Jenkins","Email","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","201631","Alfredo","Kniss","Phone","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","201675","Russell","Thompson","Phone","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","201859","Jodi","Steffen","SMS","After dinner","Speak loudly"
"2020-08-21 21:05:56.117571+00","201923","Missy","Manning","SMS","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","202081","Laura","Kenny","Phone","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","202193","Selena","Jessup","Email","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","202235","Danielle","Fullerton","Email","Weeknights between 6PM and 9PM","Works nights"
"2020-08-21 21:05:56.117571+00","202239","Jovanic","Williams","SMS","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","202375","Chad","Hernandez","Email","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","202626","Jose","Lane","SMS","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","202708","David","Howard","SMS","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","202751","Robert","Cordova","Email","Weeknights between 6PM and 9PM","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","202753","Kelby","Whiddon","Phone","Weeknights between 6PM and 9PM","Speak loudly"
"2020-08-21 21:05:56.117571+00","202759","Ruba","Woodard","Phone","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","202839","Alana","Garza","Email","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","203004","Francisco","Mckenzie","Email","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","203142","Jeremy","Chism","Phone","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","203297","Megan","Jude","Phone","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","203306","Julian","No","SMS","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","203390","Rogelio","Kallus","Phone","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","203701","Ted","Jeffreys","SMS","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","203782","Alyssa","Pena","Phone","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","203898","Sueanne","Demarco","Email","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","203928","Chianelda","Fullerton","Email","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","204067","Paula","Merchant","Phone","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","204299","Joshua","Toro","Phone","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","204540","Grant","Brown","SMS","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","204775","Laura","Ramos","SMS","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","204794","Carl","Worland","SMS","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","204875","Sharesa","Alaniz","Phone","Weeknights between 6PM and 9PM","Works nights"
"2020-08-21 21:05:56.117571+00","205082","Sherica","Haight","Phone","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","205124","Emily","Rivera","Email","During school hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","205199","Vicente","Ehler","SMS","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","205218","Lori","Gillen","Email","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","205257","Daniel","Valles","Phone","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","205706","Kristi-Lynn","Labbe","Email","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","205724","Jason","Beserra","Phone","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","205840","Kictrick","Vajgrt","Email","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","206115","Roxanne","Devito","Email","After dinner","Speak loudly"
"2020-08-21 21:05:56.117571+00","206200","Robert","Whitworth","Phone","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","206226","Kimberly","Santana","Email","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","206485","Gina","Bedard","SMS","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","206608","Cecil","Nam","Email","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","207978","Jeremiah","Murillo","Phone","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","207979","Cassie","Osullivan","Phone","During school hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","208325","Roland","Dotson","Email","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","208354","Steve","Kelley","Phone","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","208395","Alexander","Danner","SMS","Weeknights between 6PM and 9PM","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","208629","Suewilla","Dodge","SMS","After work hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","208709","Melanie","Lemay","SMS","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","208710","Chuki","Beals","SMS","After work hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","209485","Joe","Fetrow","Email","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","210127","Zachry","Scott","SMS","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","211228","Melinda","Omalley","Email","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","212035","Ebony","Parrish","SMS","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","212516","Hiram","Clinton","Email","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","214109","Diane","Ferguson","Email","After dinner","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","215229","Elijah","Campa","SMS","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","215271","Eureka","Cruz","Phone","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","216760","Scherryl","Cowley","SMS","Weeknights between 6PM and 9PM","Works nights"
"2020-08-21 21:05:56.117571+00","217609","Samantha","Johnson","Email","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","217970","Amanda","Kerns","Phone","During school hours","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","218114","Niomi","Oleary","SMS","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","218187","Tiffinie","Omalley","SMS","After dinner","Works nights"
"2020-08-21 21:05:56.117571+00","220434","Tiffiony","Schroeder","SMS","After dinner","Phone has issues"
"2020-08-21 21:05:56.117571+00","220661","Gabriel","Fox","Phone","During school hours","Works nights"
"2020-08-21 21:05:56.117571+00","221997","Thaddeus","Terrell","SMS","After work hours","Phone has issues"
"2020-08-21 21:05:56.117571+00","224004","Omar","Shelburne","Phone","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","225420","Gerri","Santiago","Email","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","227200","Clifford","Avendano","SMS","During school hours","Speak loudly"
"2020-08-21 21:05:56.117571+00","227454","James","Chaney","Email","Weeknights between 6PM and 9PM","Actually prefers email sometimes"
"2020-08-21 21:05:56.117571+00","228179","Melody","Mowery","Email","Weeknights between 6PM and 9PM","Phone has issues"
"2020-08-21 21:05:56.117571+00","228240","Leila","Haight","Email","After work hours","Works nights"
"2020-08-21 21:05:56.117571+00","235299","Shirimira","Lash","SMS","Weeknights between 6PM and 9PM","Speak loudly"
"2020-08-21 21:05:56.117571+00","236473","John","Clark","Email","After dinner","Speak loudly"
